epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.094700,0.010000
0,1000,2.176744,0.416100,0.010000
0,2000,1.784460,0.644600,0.010000
0,3000,1.159698,0.738500,0.010000
0,4000,0.851500,0.809000,0.010000
0,5000,0.646670,0.833900,0.010000
0,6000,0.554685,0.862200,0.010000
0,7000,0.447186,0.866500,0.010000
0,8000,0.510154,0.874100,0.010000
0,9000,0.520317,0.854000,0.010000
0,10000,0.391173,0.878900,0.010000
0,11000,0.342198,0.891800,0.010000
0,12000,0.373448,0.886900,0.010000
0,13000,0.406991,0.891500,0.010000
0,14000,0.436338,0.906600,0.010000
0,15000,0.447187,0.910600,0.010000
0,16000,0.342972,0.906800,0.010000
0,17000,0.345568,0.907100,0.010000
0,18000,0.365186,0.912500,0.010000
0,19000,0.273929,0.909500,0.010000
0,20000,0.264766,0.907100,0.010000
0,21000,0.341796,0.910700,0.010000
0,22000,0.249507,0.916400,0.010000
0,23000,0.283158,0.913700,0.010000
0,24000,0.281065,0.923900,0.010000
0,25000,0.309507,0.923000,0.010000
0,26000,0.228634,0.920500,0.010000
0,27000,0.321069,0.922300,0.010000
0,28000,0.257604,0.925700,0.010000
0,29000,0.265784,0.921200,0.010000
0,30000,0.312800,0.917300,0.010000
0,31000,0.271105,0.921000,0.010000
0,32000,0.331998,0.919600,0.010000
0,33000,0.278539,0.927700,0.010000
0,34000,0.189033,0.932500,0.010000
0,35000,0.249030,0.932000,0.010000
0,36000,0.203475,0.932000,0.010000
0,37000,0.192861,0.923500,0.010000
0,38000,0.313355,0.932400,0.010000
0,39000,0.207120,0.931900,0.010000
0,40000,0.242601,0.932900,0.010000
0,41000,0.210655,0.928700,0.010000
0,42000,0.266191,0.931500,0.010000
0,43000,0.275987,0.937800,0.010000
0,44000,0.200897,0.936800,0.010000
0,45000,0.217435,0.924000,0.010000
0,46000,0.263302,0.934400,0.010000
0,47000,0.223758,0.937300,0.010000
0,48000,0.228119,0.933100,0.010000
0,49000,0.173795,0.926600,0.010000
0,50000,0.268057,0.937300,0.010000
0,51000,0.243700,0.939500,0.010000
0,52000,0.160723,0.941300,0.010000
0,53000,0.265337,0.934800,0.010000
0,54000,0.193811,0.937200,0.010000
0,55000,0.186221,0.936900,0.010000
0,56000,0.175672,0.944500,0.010000
0,57000,0.167438,0.941400,0.010000
0,58000,0.139048,0.938900,0.010000
0,59000,0.100326,0.940500,0.010000
0,60000,0.141577,0.941700,0.010000
1,61000,0.200954,0.946000,0.010000
1,62000,0.212129,0.947700,0.010000
1,63000,0.135576,0.941000,0.010000
1,64000,0.145062,0.952300,0.010000
1,65000,0.158406,0.949100,0.010000
1,66000,0.155255,0.949200,0.010000
1,67000,0.149978,0.947900,0.010000
1,68000,0.179869,0.944200,0.010000
1,69000,0.245738,0.938400,0.010000
1,70000,0.148923,0.947100,0.010000
1,71000,0.148166,0.946900,0.010000
1,72000,0.144638,0.942800,0.010000
1,73000,0.180542,0.947000,0.010000
1,74000,0.181267,0.953500,0.010000
1,75000,0.203629,0.953600,0.010000
1,76000,0.170084,0.953000,0.010000
1,77000,0.149268,0.954800,0.010000
1,78000,0.162183,0.953000,0.010000
1,79000,0.129559,0.955300,0.010000
1,80000,0.146781,0.949300,0.010000
1,81000,0.175539,0.950300,0.010000
1,82000,0.127211,0.950600,0.010000
1,83000,0.161037,0.951400,0.010000
1,84000,0.148431,0.954600,0.010000
1,85000,0.142698,0.955200,0.010000
1,86000,0.125950,0.953500,0.010000
1,87000,0.183590,0.952700,0.010000
1,88000,0.135250,0.954700,0.010000
1,89000,0.143778,0.953800,0.010000
1,90000,0.145406,0.946100,0.010000
1,91000,0.130060,0.951300,0.010000
1,92000,0.191733,0.957100,0.010000
1,93000,0.160380,0.953700,0.010000
1,94000,0.114221,0.957600,0.010000
1,95000,0.146936,0.958400,0.010000
1,96000,0.123031,0.956400,0.010000
1,97000,0.122070,0.946700,0.010000
1,98000,0.191775,0.959700,0.010000
1,99000,0.103639,0.957600,0.010000
1,100000,0.141724,0.958500,0.010000
1,101000,0.124285,0.956300,0.010000
1,102000,0.173567,0.957600,0.010000
1,103000,0.175009,0.957300,0.010000
1,104000,0.121534,0.960100,0.010000
1,105000,0.124163,0.954500,0.010000
1,106000,0.158005,0.951700,0.010000
1,107000,0.147237,0.956800,0.010000
1,108000,0.146365,0.957500,0.010000
1,109000,0.111700,0.944800,0.010000
1,110000,0.183748,0.957000,0.010000
1,111000,0.148043,0.959400,0.010000
1,112000,0.106167,0.960800,0.010000
1,113000,0.158708,0.949000,0.010000
1,114000,0.126745,0.959500,0.010000
1,115000,0.108134,0.954400,0.010000
1,116000,0.130334,0.959500,0.010000
1,117000,0.110682,0.958300,0.010000
1,118000,0.089152,0.959300,0.010000
1,119000,0.053820,0.955100,0.010000
1,120000,0.096011,0.958000,0.010000
