epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.091400,0.100000
0,1000,1.247649,0.799300,0.100000
0,2000,0.590068,0.753200,0.100000
0,3000,0.414906,0.882600,0.100000
0,4000,0.346806,0.902100,0.100000
0,5000,0.339948,0.899300,0.100000
0,6000,0.296059,0.896800,0.100000
0,7000,0.262051,0.908500,0.100000
0,8000,0.344491,0.914900,0.100000
0,9000,0.341001,0.910100,0.100000
0,10000,0.233312,0.905200,0.100000
0,11000,0.222813,0.929600,0.100000
0,12000,0.254005,0.884900,0.100000
0,13000,0.251932,0.908400,0.100000
0,14000,0.270029,0.935000,0.100000
0,15000,0.264898,0.932500,0.100000
0,16000,0.226714,0.917300,0.100000
0,17000,0.201146,0.940700,0.100000
0,18000,0.251430,0.935800,0.100000
0,19000,0.186719,0.937000,0.100000
0,20000,0.199352,0.929700,0.100000
0,21000,0.241442,0.936200,0.100000
0,22000,0.153027,0.941700,0.100000
0,23000,0.209909,0.943400,0.100000
0,24000,0.192779,0.947800,0.100000
0,25000,0.187194,0.943600,0.100000
0,26000,0.173387,0.921500,0.100000
0,27000,0.221466,0.944900,0.100000
0,28000,0.152917,0.948400,0.100000
0,29000,0.169838,0.952400,0.100000
0,30000,0.187609,0.945700,0.100000
0,31000,0.190710,0.952400,0.100000
0,32000,0.213059,0.945400,0.100000
0,33000,0.203782,0.959900,0.100000
0,34000,0.128873,0.956300,0.100000
0,35000,0.176520,0.950200,0.100000
0,36000,0.139935,0.960300,0.100000
0,37000,0.138873,0.942800,0.100000
0,38000,0.208503,0.949900,0.100000
0,39000,0.121134,0.955300,0.100000
0,40000,0.224454,0.948300,0.100000
0,41000,0.119969,0.941500,0.100000
0,42000,0.178917,0.958700,0.100000
0,43000,0.187594,0.956300,0.100000
0,44000,0.107386,0.954400,0.100000
0,45000,0.133406,0.946900,0.100000
0,46000,0.158215,0.946200,0.100000
0,47000,0.173400,0.949800,0.100000
0,48000,0.175738,0.958100,0.100000
0,49000,0.136492,0.939600,0.100000
0,50000,0.213293,0.955900,0.100000
0,51000,0.164177,0.961800,0.100000
0,52000,0.111161,0.955500,0.100000
0,53000,0.171679,0.960800,0.100000
0,54000,0.124307,0.961400,0.100000
0,55000,0.096933,0.955700,0.100000
0,56000,0.141235,0.950200,0.100000
0,57000,0.115718,0.964300,0.100000
0,58000,0.111669,0.955500,0.100000
0,59000,0.053446,0.957300,0.100000
0,60000,0.100931,0.952300,0.100000
1,61000,0.137152,0.960600,0.100000
1,62000,0.139120,0.962600,0.100000
1,63000,0.099556,0.958700,0.100000
1,64000,0.094233,0.966000,0.100000
1,65000,0.083416,0.956800,0.100000
1,66000,0.092894,0.963000,0.100000
1,67000,0.102550,0.965900,0.100000
1,68000,0.115306,0.958800,0.100000
1,69000,0.149517,0.946100,0.100000
1,70000,0.088000,0.954600,0.100000
1,71000,0.100527,0.956200,0.100000
1,72000,0.114437,0.960100,0.100000
1,73000,0.083369,0.959500,0.100000
1,74000,0.113523,0.968800,0.100000
1,75000,0.119595,0.968300,0.100000
1,76000,0.098056,0.964600,0.100000
1,77000,0.092119,0.965500,0.100000
1,78000,0.137051,0.962300,0.100000
1,79000,0.071605,0.967200,0.100000
1,80000,0.116518,0.955800,0.100000
1,81000,0.133698,0.963500,0.100000
1,82000,0.074069,0.960100,0.100000
1,83000,0.106281,0.963200,0.100000
1,84000,0.103266,0.965700,0.100000
1,85000,0.093869,0.963900,0.100000
1,86000,0.083037,0.961300,0.100000
1,87000,0.137921,0.955500,0.100000
1,88000,0.091949,0.962500,0.100000
1,89000,0.111236,0.966100,0.100000
1,90000,0.091264,0.962000,0.100000
1,91000,0.075674,0.961500,0.100000
1,92000,0.119772,0.964500,0.100000
1,93000,0.106751,0.961900,0.100000
1,94000,0.074166,0.967600,0.100000
1,95000,0.097205,0.972900,0.100000
1,96000,0.082796,0.969600,0.100000
1,97000,0.076282,0.966100,0.100000
1,98000,0.121449,0.971200,0.100000
1,99000,0.053299,0.969900,0.100000
1,100000,0.132526,0.964800,0.100000
1,101000,0.085668,0.965800,0.100000
1,102000,0.107578,0.966700,0.100000
1,103000,0.098544,0.967800,0.100000
1,104000,0.065242,0.967900,0.100000
1,105000,0.061913,0.956200,0.100000
1,106000,0.094715,0.957800,0.100000
1,107000,0.111018,0.966300,0.100000
1,108000,0.123310,0.956300,0.100000
1,109000,0.097648,0.954500,0.100000
1,110000,0.136599,0.960600,0.100000
1,111000,0.088567,0.971400,0.100000
1,112000,0.077893,0.971100,0.100000
1,113000,0.100314,0.966500,0.100000
1,114000,0.093536,0.971300,0.100000
1,115000,0.066735,0.968000,0.100000
1,116000,0.074595,0.972300,0.100000
1,117000,0.065144,0.969400,0.100000
1,118000,0.061923,0.966400,0.100000
1,119000,0.030610,0.966600,0.100000
1,120000,0.096330,0.959800,0.100000
