epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.104200,0.100000
0,1000,1.146487,0.791000,0.100000
0,2000,0.597192,0.808100,0.100000
0,3000,0.437069,0.832600,0.100000
0,4000,0.342739,0.895100,0.100000
0,5000,0.324548,0.867100,0.100000
0,6000,0.290103,0.904900,0.100000
0,7000,0.259832,0.906500,0.100000
0,8000,0.337473,0.919500,0.100000
0,9000,0.371520,0.910200,0.100000
0,10000,0.236632,0.917800,0.100000
0,11000,0.240222,0.922500,0.100000
0,12000,0.235927,0.847200,0.100000
0,13000,0.271400,0.923000,0.100000
0,14000,0.251217,0.938600,0.100000
0,15000,0.284554,0.935700,0.100000
0,16000,0.229450,0.936700,0.100000
0,17000,0.192191,0.932900,0.100000
0,18000,0.245079,0.939500,0.100000
0,19000,0.189821,0.940500,0.100000
0,20000,0.196936,0.919700,0.100000
0,21000,0.236719,0.938000,0.100000
0,22000,0.169537,0.942700,0.100000
0,23000,0.209802,0.947500,0.100000
0,24000,0.194574,0.944100,0.100000
0,25000,0.183537,0.948500,0.100000
0,26000,0.160560,0.927300,0.100000
0,27000,0.210663,0.945700,0.100000
0,28000,0.154001,0.954200,0.100000
0,29000,0.169919,0.954100,0.100000
0,30000,0.181853,0.945300,0.100000
0,31000,0.166707,0.950200,0.100000
0,32000,0.208448,0.947000,0.100000
0,33000,0.218571,0.956400,0.100000
0,34000,0.129063,0.956000,0.100000
0,35000,0.175815,0.955800,0.100000
0,36000,0.126396,0.957100,0.100000
0,37000,0.131499,0.939800,0.100000
0,38000,0.191737,0.960300,0.100000
0,39000,0.117664,0.955700,0.100000
0,40000,0.188920,0.956800,0.100000
0,41000,0.144044,0.944900,0.100000
0,42000,0.186677,0.955900,0.100000
0,43000,0.174758,0.947500,0.100000
0,44000,0.121844,0.957500,0.100000
0,45000,0.124464,0.946600,0.100000
0,46000,0.182888,0.945800,0.100000
0,47000,0.166203,0.955700,0.100000
0,48000,0.178836,0.958400,0.100000
0,49000,0.147010,0.935300,0.100000
0,50000,0.201173,0.953100,0.100000
0,51000,0.163559,0.960600,0.100000
0,52000,0.124721,0.958600,0.100000
0,53000,0.171620,0.954700,0.100000
0,54000,0.129449,0.952200,0.100000
0,55000,0.113995,0.957800,0.100000
0,56000,0.120847,0.961100,0.100000
0,57000,0.112027,0.949700,0.100000
0,58000,0.130984,0.954400,0.100000
0,59000,0.067526,0.950600,0.100000
