epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.115700,0.100000
0,1000,1.897732,0.499800,0.100000
0,2000,2.333409,0.177200,0.100000
0,3000,2.118464,0.299900,0.100000
0,4000,2.431536,0.320100,0.100000
0,5000,-nan,0.098000,0.100000
0,6000,-nan,0.098000,0.100000
0,7000,-nan,0.098000,0.100000
0,8000,nan,0.098000,0.100000
0,9000,-nan,0.098000,0.100000
0,10000,nan,0.098000,0.100000
0,11000,-nan,0.098000,0.100000
0,12000,nan,0.098000,0.100000
0,13000,-nan,0.098000,0.100000
0,14000,-nan,0.098000,0.100000
0,15000,nan,0.098000,0.100000
0,16000,nan,0.098000,0.100000
0,17000,nan,0.098000,0.100000
0,18000,nan,0.098000,0.100000
0,19000,nan,0.098000,0.100000
0,20000,-nan,0.098000,0.100000
0,21000,nan,0.098000,0.100000
0,22000,nan,0.098000,0.100000
0,23000,nan,0.098000,0.100000
0,24000,nan,0.098000,0.100000
0,25000,-nan,0.098000,0.100000
0,26000,-nan,0.098000,0.100000
0,27000,-nan,0.098000,0.100000
0,28000,nan,0.098000,0.100000
0,29000,nan,0.098000,0.100000
0,30000,nan,0.098000,0.100000
0,31000,nan,0.098000,0.100000
0,32000,-nan,0.098000,0.100000
0,33000,-nan,0.098000,0.100000
0,34000,-nan,0.098000,0.100000
0,35000,-nan,0.098000,0.100000
0,36000,-nan,0.098000,0.100000
0,37000,-nan,0.098000,0.100000
0,38000,nan,0.098000,0.100000
0,39000,-nan,0.098000,0.100000
0,40000,-nan,0.098000,0.100000
0,41000,nan,0.098000,0.100000
0,42000,-nan,0.098000,0.100000
0,43000,nan,0.098000,0.100000
0,44000,-nan,0.098000,0.100000
0,45000,-nan,0.098000,0.100000
0,46000,nan,0.098000,0.100000
0,47000,-nan,0.098000,0.100000
0,48000,-nan,0.098000,0.100000
0,49000,-nan,0.098000,0.100000
0,50000,nan,0.098000,0.100000
0,51000,nan,0.098000,0.100000
0,52000,-nan,0.098000,0.100000
0,53000,-nan,0.098000,0.100000
0,54000,nan,0.098000,0.100000
0,55000,-nan,0.098000,0.100000
0,56000,nan,0.098000,0.100000
0,57000,-nan,0.098000,0.100000
0,58000,-nan,0.098000,0.100000
0,59000,nan,0.098000,0.100000
0,60000,nan,0.098000,0.100000
1,61000,-nan,0.098000,0.100000
1,62000,-nan,0.098000,0.100000
1,63000,-nan,0.098000,0.100000
1,64000,-nan,0.098000,0.100000
1,65000,-nan,0.098000,0.100000
1,66000,-nan,0.098000,0.100000
1,67000,-nan,0.098000,0.100000
1,68000,nan,0.098000,0.100000
1,69000,-nan,0.098000,0.100000
1,70000,nan,0.098000,0.100000
1,71000,-nan,0.098000,0.100000
1,72000,nan,0.098000,0.100000
1,73000,-nan,0.098000,0.100000
1,74000,-nan,0.098000,0.100000
1,75000,nan,0.098000,0.100000
1,76000,nan,0.098000,0.100000
1,77000,nan,0.098000,0.100000
1,78000,nan,0.098000,0.100000
1,79000,nan,0.098000,0.100000
1,80000,-nan,0.098000,0.100000
1,81000,nan,0.098000,0.100000
1,82000,nan,0.098000,0.100000
1,83000,nan,0.098000,0.100000
1,84000,nan,0.098000,0.100000
1,85000,-nan,0.098000,0.100000
1,86000,-nan,0.098000,0.100000
1,87000,-nan,0.098000,0.100000
1,88000,nan,0.098000,0.100000
1,89000,nan,0.098000,0.100000
1,90000,nan,0.098000,0.100000
1,91000,nan,0.098000,0.100000
1,92000,-nan,0.098000,0.100000
1,93000,-nan,0.098000,0.100000
1,94000,-nan,0.098000,0.100000
1,95000,-nan,0.098000,0.100000
1,96000,-nan,0.098000,0.100000
1,97000,-nan,0.098000,0.100000
1,98000,nan,0.098000,0.100000
1,99000,-nan,0.098000,0.100000
1,100000,-nan,0.098000,0.100000
1,101000,nan,0.098000,0.100000
1,102000,-nan,0.098000,0.100000
1,103000,nan,0.098000,0.100000
1,104000,-nan,0.098000,0.100000
1,105000,-nan,0.098000,0.100000
1,106000,nan,0.098000,0.100000
1,107000,-nan,0.098000,0.100000
1,108000,-nan,0.098000,0.100000
1,109000,-nan,0.098000,0.100000
1,110000,nan,0.098000,0.100000
1,111000,nan,0.098000,0.100000
1,112000,-nan,0.098000,0.100000
1,113000,-nan,0.098000,0.100000
1,114000,nan,0.098000,0.100000
1,115000,-nan,0.098000,0.100000
1,116000,nan,0.098000,0.100000
1,117000,-nan,0.098000,0.100000
1,118000,-nan,0.098000,0.100000
1,119000,nan,0.098000,0.100000
1,120000,nan,0.098000,0.100000
