epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.104200,0.100000
0,1000,2.167459,0.493000,0.100000
0,2000,1.734185,0.712800,0.100000
0,3000,1.092329,0.674300,0.100000
0,4000,0.845706,0.829500,0.100000
0,5000,0.655526,0.838900,0.100000
0,6000,0.581104,0.826700,0.100000
0,7000,0.495975,0.872900,0.100000
0,8000,0.561266,0.865700,0.100000
0,9000,0.628280,0.791000,0.100000
0,10000,0.406503,0.885100,0.100000
0,11000,0.361716,0.865900,0.100000
0,12000,0.392962,0.879900,0.100000
0,13000,0.489523,0.891200,0.100000
0,14000,0.417238,0.898800,0.100000
0,15000,0.553715,0.894500,0.100000
0,16000,0.360315,0.896100,0.100000
0,17000,0.360985,0.913300,0.100000
0,18000,0.360019,0.911300,0.100000
0,19000,0.269242,0.916100,0.100000
0,20000,0.324015,0.899800,0.100000
0,21000,0.411862,0.915200,0.100000
0,22000,0.261099,0.919900,0.100000
0,23000,0.330216,0.915400,0.100000
0,24000,0.293356,0.920900,0.100000
0,25000,0.329659,0.911400,0.100000
0,26000,0.229887,0.924300,0.100000
0,27000,0.310687,0.916900,0.100000
0,28000,0.249407,0.925000,0.100000
0,29000,0.264873,0.928700,0.100000
0,30000,0.307142,0.921600,0.100000
0,31000,0.277511,0.914800,0.100000
0,32000,0.328643,0.927300,0.100000
0,33000,0.328858,0.927900,0.100000
0,34000,0.196966,0.933100,0.100000
0,35000,0.287926,0.923800,0.100000
0,36000,0.207209,0.933500,0.100000
0,37000,0.204844,0.917400,0.100000
0,38000,0.329282,0.931900,0.100000
0,39000,0.206356,0.933600,0.100000
0,40000,0.286259,0.932300,0.100000
0,41000,0.198409,0.937100,0.100000
0,42000,0.257223,0.934600,0.100000
0,43000,0.286390,0.936400,0.100000
0,44000,0.203095,0.932800,0.100000
0,45000,0.197271,0.940500,0.100000
0,46000,0.257263,0.941500,0.100000
0,47000,0.221038,0.927200,0.100000
0,48000,0.255624,0.942300,0.100000
0,49000,0.185268,0.942000,0.100000
0,50000,0.286085,0.928300,0.100000
0,51000,0.237176,0.929600,0.100000
0,52000,0.166953,0.948500,0.100000
0,53000,0.249396,0.944000,0.100000
0,54000,0.189040,0.942700,0.100000
0,55000,0.180273,0.942700,0.100000
0,56000,0.156923,0.943700,0.100000
0,57000,0.169224,0.944000,0.100000
0,58000,0.145989,0.943000,0.100000
0,59000,0.102880,0.940800,0.100000
0,60000,0.144372,0.937000,0.100000
1,61000,0.205770,0.946400,0.100000
1,62000,0.175876,0.947500,0.100000
1,63000,0.129863,0.949700,0.100000
1,64000,0.128245,0.951400,0.100000
1,65000,0.151506,0.943000,0.100000
1,66000,0.145350,0.949100,0.100000
1,67000,0.140791,0.942200,0.100000
1,68000,0.187970,0.943500,0.100000
1,69000,0.230131,0.888900,0.100000
1,70000,0.144068,0.948900,0.100000
1,71000,0.240200,0.949300,0.100000
1,72000,0.149273,0.947700,0.100000
1,73000,0.197224,0.953800,0.100000
1,74000,0.166677,0.955100,0.100000
1,75000,0.228249,0.952500,0.100000
1,76000,0.167612,0.956400,0.100000
1,77000,0.148617,0.956700,0.100000
1,78000,0.157481,0.955500,0.100000
1,79000,0.120534,0.957000,0.100000
1,80000,0.140357,0.954900,0.100000
1,81000,0.179565,0.952100,0.100000
1,82000,0.132252,0.956400,0.100000
1,83000,0.159995,0.952100,0.100000
1,84000,0.153606,0.958300,0.100000
1,85000,0.131673,0.956900,0.100000
1,86000,0.123107,0.957600,0.100000
1,87000,0.172311,0.957700,0.100000
1,88000,0.131627,0.958600,0.100000
1,89000,0.148789,0.956200,0.100000
1,90000,0.144622,0.956800,0.100000
1,91000,0.133643,0.956400,0.100000
1,92000,0.179434,0.949300,0.100000
1,93000,0.154455,0.955900,0.100000
1,94000,0.107375,0.959200,0.100000
1,95000,0.147896,0.955900,0.100000
1,96000,0.126397,0.958000,0.100000
1,97000,0.121887,0.951300,0.100000
1,98000,0.200898,0.959400,0.100000
1,99000,0.108500,0.959200,0.100000
1,100000,0.153387,0.958600,0.100000
1,101000,0.111292,0.959200,0.100000
1,102000,0.166527,0.958800,0.100000
1,103000,0.172153,0.960700,0.100000
1,104000,0.117627,0.960000,0.100000
1,105000,0.114294,0.963500,0.100000
1,106000,0.156535,0.962100,0.100000
1,107000,0.140659,0.952000,0.100000
1,108000,0.163261,0.960700,0.100000
1,109000,0.115433,0.960600,0.100000
1,110000,0.187664,0.953500,0.100000
1,111000,0.136551,0.955300,0.100000
1,112000,0.105987,0.962000,0.100000
1,113000,0.146550,0.960200,0.100000
1,114000,0.120754,0.960900,0.100000
1,115000,0.103019,0.963100,0.100000
1,116000,0.106687,0.960500,0.100000
1,117000,0.112733,0.961400,0.100000
1,118000,0.089791,0.961800,0.100000
1,119000,0.060585,0.955500,0.100000
1,120000,0.104521,0.956600,0.100000
